;Date;TypeA;TypeB;TypeC;TypeD;TypeE;TypeG;Organic;Year;Sales;City;AveragePrice;format
20;09/08/2017;585;100961;369;9116;110;0;conventional;2017;Edelyn;Jakarta;14560;minimarket
21;02/08/2017;510;62035;741;11769;79;0;conventional;2017;Clarissa;Medan;18850;minimarket
22;26/07/2017;649;91949;967;13062;131;0;conventional;2017;Clarissa;Jakarta;14430;minimarket
23;19/07/2017;1042;82049;2238;11103;184;0;conventional;2017;Edelyn;Jayapura;16380;minimarket
24;12/07/2017;672;94694;4258;24290;108;33;conventional;2017;Viola;BalikPapan;13650;supermarket
25;05/07/2017;869;72601;5883;29663;236;0;conventional;2017;Edelyn;Makassar;17550;minimarket
26;28/06/2017;664;57546;4663;26312;350;0;conventional;2017;Clarissa;Medan;17810;minimarket
27;21/06/2017;804;76689;5481;21662;214;0;conventional;2017;Clarissa;Surabaya;16510;minimarket
28;14/06/2017;851;55401;4377;28343;659;0;conventional;2017;Viola;Medan;17160;minimarket
29;07/06/2017;657;99221;90;22315;460;0;conventional;2017;Eko;Makassar;13910;minimarket
30;31/05/2017;922;70470;51;23222;459;0;conventional;2017;Eko;Jakarta;15990;minimarket
31;24/05/2017;680;71377;59;28762;593;0;conventional;2017;Clarissa;BalikPapan;15470;minimarket
32;17/05/2017;1151;81955;94;26285;372;0;conventional;2017;Edelyn;BalikPapan;18590;minimarket
33;10/05/2017;1420;102001;186;16536;286;0;conventional;2017;Viola;Palembang;16380;minimarket
34;03/05/2017;920;45490;217;12202;369;0;conventional;2017;Clarissa;Jakarta;15600;minimarket
35;26/04/2017;876;35842;90;12077;702;0;conventional;2017;Viola;Medan;15860;minimarket
36;19/04/2017;774;33942;47;13603;699;0;conventional;2017;Eko;Jakarta;15470;minimarket
37;12/04/2017;864;30374;22;16438;666;0;conventional;2017;Clarissa;Surabaya;14690;minimarket
38;05/04/2017;962;35578;94;9869;756;104;conventional;2017;Clarissa;Jakarta;15080;supermarket
39;29/03/2017;1402;58623;90;7208;476;0;conventional;2017;Mei;Surabaya;13260;minimarket
40;22/03/2017;2142;34314;142;9253;497;0;conventional;2017;Viola;Surabaya;14560;minimarket
41;15/03/2017;2128;30447;100;9990;381;0;conventional;2017;Viola;Jayapura;14430;minimarket
42;08/03/2017;796;30371;159;8828;354;0;conventional;2017;Mei;Jayapura;13910;minimarket
43;01/03/2017;629;45633;181;8986;165;0;conventional;2017;Eko;Palembang;12870;minimarket
44;22/02/2017;1088;35056;151;9000;379;0;conventional;2017;Viola;Surabaya;13910;minimarket
45;15/02/2017;987;30046;222;9980;333;0;conventional;2017;Mei;Surabaya;13780;minimarket
46;08/02/2017;1357;39112;163;10113;508;0;conventional;2017;Viola;Jayapura;12870;minimarket
47;01/02/2017;1354;60017;179;9171;152;0;conventional;2017;Viola;Jayapura;12870;minimarket
48;25/01/2017;941;33196;164;10103;742;0;conventional;2017;Clarissa;BalikPapan;13780;minimarket
49;18/01/2017;914;31540;136;11651;270;0;conventional;2017;Clarissa;BalikPapan;15210;minimarket
50;11/01/2017;1003;31640;127;8036;389;0;conventional;2017;Clarissa;Jayapura;16120;minimarket
51;04/01/2017;2820;28287;50;9187;530;0;conventional;2017;Viola;Jayapura;15860;minimarket
0;27/12/2017;292097;27351;298;48606;17748;0;conventional;2017;Viola;Jakarta;12870;minimarket
1;20/12/2017;251774;20702;103;46930;11868;0;conventional;2017;Mei;Surabaya;14040;minimarket
2;13/12/2017;324932;31019;276;38904;22628;14;conventional;2017;Edelyn;Medan;12480;supermarket
3;06/12/2017;283024;23741;182;37033;13655;3;conventional;2017;Viola;Jakarta;13910;supermarket
4;29/11/2017;250289;28890;308;33032;20739;24;conventional;2017;Viola;Medan;12870;supermarket
5;22/11/2017;269799;29732;501;36992;19390;0;conventional;2017;Viola;Jayapura;13000;minimarket
6;15/11/2017;263916;28442;456;33656;13390;0;conventional;2017;Viola;Jakarta;14690;minimarket
7;08/11/2017;250441;34483;488;35663;12941;25;conventional;2017;Mei;Jakarta;14560;supermarket
8;01/11/2017;290458;62980;253;39461;25929;8;conventional;2017;Viola;Makassar;12870;supermarket
9;25/10/2017;236814;64608;304;31827;24925;0;conventional;2017;Edelyn;Jakarta;14170;minimarket
10;18/10/2017;228710;59732;291;36884;23455;0;conventional;2017;Viola;Makassar;14170;minimarket
11;11/10/2017;255933;91047;600;41160;45134;0;conventional;2017;Viola;Jayapura;12350;minimarket
12;04/10/2017;265797;92780;644;14876;44585;0;conventional;2017;Clarissa;Jakarta;12480;minimarket
13;27/09/2017;262107;61871;681;20534;25126;3;conventional;2017;Viola;Palembang;13910;supermarket
14;20/09/2017;346119;82763;1349;33698;52442;61;conventional;2017;Clarissa;Jakarta;12090;supermarket
15;13/09/2017;278048;62486;715;46290;29679;14;conventional;2017;Mei;Surabaya;13910;supermarket
16;06/09/2017;303113;73676;911;49834;44550;53;conventional;2017;Viola;Jakarta;12610;supermarket
17;30/08/2017;275818;44839;1034;47138;14113;31;conventional;2017;Viola;Bandung;14950;supermarket
18;23/08/2017;274462;46224;950;45534;11884;0;conventional;2017;Viola;Palembang;14560;minimarket
19;16/08/2017;362580;41992;1425;45068;14149;0;conventional;2017;Eko;Jakarta;14170;minimarket
20;09/08/2017;385028;47040;4252;45820;21568;83;conventional;2017;Eko;BalikPapan;13130;supermarket
21;02/08/2017;306588;41907;3515;42126;11720;42;conventional;2017;Viola;Surabaya;14950;supermarket
22;26/07/2017;335372;44087;708;45114;12096;0;conventional;2017;Eko;Palembang;14040;minimarket
23;19/07/2017;446100;47838;1982;45100;16193;0;conventional;2017;Viola;Jakarta;12610;minimarket
24;12/07/2017;310080;37953;867;46024;12280;0;conventional;2017;Viola;Jakarta;14820;minimarket
25;05/07/2017;436378;54675;849;50685;19851;25;conventional;2017;Edelyn;Medan;13130;supermarket
26;28/06/2017;331353;37699;817;52100;13108;134;conventional;2017;Clarissa;Palembang;14690;supermarket
27;21/06/2017;449311;30232;678;55485;19011;47;conventional;2017;Edelyn;BalikPapan;12870;supermarket
28;14/06/2017;386371;17701;472;48612;12578;71;conventional;2017;Viola;Jakarta;14300;supermarket
29;07/06/2017;455566;22414;739;50955;21330;5;conventional;2017;Mei;Jakarta;12870;supermarket
30;31/05/2017;382901;19543;523;40505;11200;30;conventional;2017;Viola;Jayapura;14300;supermarket
31;24/05/2017;538127;27284;1261;33867;22651;22;conventional;2017;Viola;Medan;12480;supermarket
32;17/05/2017;386401;18619;839;33710;11682;0;conventional;2017;Clarissa;Jakarta;14430;minimarket
33;10/05/2017;413453;18861;1089;34108;12560;0;conventional;2017;Mei;Jayapura;14300;minimarket
34;03/05/2017;538403;28568;1060;32521;33661;0;conventional;2017;Clarissa;Jayapura;13000;minimarket
35;26/04/2017;387677;18366;1042;31315;10197;0;conventional;2017;Clarissa;Bandung;14560;minimarket
36;19/04/2017;368710;18041;873;29662;13681;0;conventional;2017;Viola;Medan;14560;minimarket
37;12/04/2017;377578;22420;219;25833;25051;0;conventional;2017;Mei;Makassar;12870;minimarket
38;05/04/2017;318473;19254;375;28612;16290;135;conventional;2017;Eko;Surabaya;13520;supermarket
39;29/03/2017;305029;16652;261;29314;14466;0;conventional;2017;Viola;Makassar;14430;minimarket
40;22/03/2017;393591;23420;305;40495;21767;13;conventional;2017;Viola;Jakarta;13000;supermarket
41;15/03/2017;336172;16508;311;34912;11626;38;conventional;2017;Viola;Surabaya;14560;supermarket
42;08/03/2017;361559;15789;237;33847;9394;0;conventional;2017;Clarissa;Jayapura;14300;minimarket
43;01/03/2017;441544;21184;348;32181;17273;3;conventional;2017;Mei;Jakarta;12870;supermarket
44;22/02/2017;369316;18325;237;33424;10006;0;conventional;2017;Eko;Surabaya;14300;minimarket
45;15/02/2017;364447;17420;638;26728;18158;0;conventional;2017;Viola;Palembang;13780;minimarket
46;08/02/2017;377256;17163;525;18044;20896;0;conventional;2017;Eko;Bandung;13390;minimarket
47;01/02/2017;553199;31583;295;10554;41141;0;conventional;2017;Mei;Palembang;12480;minimarket
48;25/01/2017;393408;18718;594;13176;23436;0;conventional;2017;Viola;Surabaya;14300;minimarket
49;18/01/2017;372237;18702;512;16783;23258;0;conventional;2017;Viola;Medan;14430;minimarket
50;11/01/2017;330411;18958;1135;21310;25728;0;conventional;2017;Clarissa;Jakarta;14430;minimarket
51;04/01/2017;364302;23821;82;16707;30109;0;conventional;2017;Clarissa;Jayapura;13000;minimarket
0;27/12/2017;40450;394104;17354;142544;2367;0;conventional;2017;Clarissa;Jayapura;15210;minimarket
1;20/12/2017;44741;434591;19112;141752;2486;0;conventional;2017;Clarissa;Palembang;14430;minimarket
2;13/12/2017;44400;399852;24291;149070;1896;0;conventional;2017;Clarissa;Surabaya;14950;minimarket
3;06/12/2017;51129;453587;25760;117113;1552;0;conventional;2017;Eko;Makassar;13520;minimarket
4;29/11/2017;41028;379156;20148;103616;1852;0;conventional;2017;Clarissa;Jayapura;15080;minimarket
5;22/11/2017;40868;386138;23343;119008;2663;0;conventional;2017;Viola;Jakarta;14560;minimarket
6;15/11/2017;47110;503470;37990;125298;4463;0;conventional;2017;Clarissa;Jakarta;13520;minimarket
7;08/11/2017;58579;576513;51035;138778;6063;0;conventional;2017;Clarissa;Medan;13650;minimarket
8;01/11/2017;51860;473819;58616;152716;5209;0;conventional;2017;Edelyn;Medan;14560;minimarket
9;25/10/2017;53766;397911;49086;149988;6141;0;conventional;2017;Viola;Bandung;15470;minimarket
10;18/10/2017;59122;745385;49171;146421;5505;0;conventional;2017;Edelyn;Jayapura;12870;minimarket
11;11/10/2017;34707;392009;58490;163669;4685;0;conventional;2017;Viola;Medan;16120;minimarket
12;04/10/2017;35342;407610;42258;167495;4739;0;conventional;2017;Clarissa;Bandung;16640;minimarket
13;27/09/2017;34309;451061;59019;146793;5100;0;conventional;2017;Mei;Makassar;15470;minimarket
14;20/09/2017;39620;450283;45336;168890;5140;0;conventional;2017;Viola;Jakarta;15210;minimarket
15;13/09/2017;55699;675524;42270;145686;5814;0;conventional;2017;Clarissa;Medan;14170;minimarket
16;06/09/2017;63904;522568;68180;165697;3269;6;conventional;2017;Clarissa;Jayapura;15340;supermarket
17;30/08/2017;48455;458207;42754;181969;3159;177;conventional;2017;Viola;Palembang;16120;supermarket
18;23/08/2017;59242;499100;47216;175047;3060;269;conventional;2017;Viola;Medan;15080;supermarket
19;16/08/2017;86492;597185;43103;153157;2797;22;conventional;2017;Eko;Jakarta;14820;supermarket
20;09/08/2017;56363;557364;42934;161565;3298;0;conventional;2017;Edelyn;Jakarta;15080;minimarket
21;02/08/2017;53958;535167;44750;163668;3061;0;conventional;2017;Viola;Jakarta;15210;minimarket
22;26/07/2017;52746;496509;45011;174775;3880;5;conventional;2017;Viola;Palembang;15600;supermarket
23;19/07/2017;52955;496206;50320;196838;3862;13;conventional;2017;Clarissa;Makassar;15340;supermarket
24;12/07/2017;58828;547537;50679;189236;4406;245;conventional;2017;Clarissa;Palembang;14300;supermarket
25;05/07/2017;66505;567641;56045;200098;5891;120;conventional;2017;Viola;Palembang;15080;supermarket
26;28/06/2017;65052;534535;51110;207378;4023;164;conventional;2017;Viola;Medan;14950;supermarket
27;21/06/2017;58399;527867;51953;220904;3488;230;conventional;2017;Clarissa;Medan;15080;supermarket
28;14/06/2017;64005;593500;48345;244982;3668;547;conventional;2017;Viola;Medan;14170;supermarket
29;07/06/2017;62585;462951;43721;221166;3626;261;conventional;2017;Clarissa;Jakarta;16380;supermarket
30;31/05/2017;67745;617814;45833;211787;5730;268;conventional;2017;Viola;Medan;15470;supermarket
31;24/05/2017;63610;560740;49809;228843;5549;111;conventional;2017;Mei;Surabaya;15340;supermarket
32;17/05/2017;63515;455167;44841;222163;5152;16;conventional;2017;Clarissa;Jakarta;16510;supermarket
33;10/05/2017;79192;507104;44391;215572;8947;0;conventional;2017;Viola;Surabaya;16380;minimarket
34;03/05/2017;73038;536710;77537;201874;7767;44;conventional;2017;Viola;Jakarta;15210;supermarket
35;26/04/2017;58014;431533;39943;212065;6184;103;conventional;2017;Viola;Jayapura;16770;supermarket
36;19/04/2017;67487;427623;42125;219886;5741;0;conventional;2017;Viola;Medan;16640;minimarket
37;12/04/2017;70797;523170;42271;196076;5316;0;conventional;2017;Clarissa;Bandung;14950;minimarket
38;05/04/2017;53579;401279;41867;184109;6357;874;conventional;2017;Edelyn;Surabaya;16770;supermarket
39;29/03/2017;58098;398051;43760;158964;4805;0;conventional;2017;Viola;Jakarta;16250;minimarket
40;22/03/2017;65159;524971;42381;171700;4686;0;conventional;2017;Clarissa;Surabaya;14300;minimarket
41;15/03/2017;53400;395837;46596;193131;4734;0;conventional;2017;Viola;Medan;16120;minimarket
42;08/03/2017;55285;367671;42268;188374;4148;0;conventional;2017;Viola;Bandung;16380;minimarket
43;01/03/2017;59040;498873;40242;168224;3737;0;conventional;2017;Mei;Jakarta;15080;minimarket
44;22/02/2017;50501;445971;62612;186977;3786;0;conventional;2017;Clarissa;Jayapura;14430;minimarket
45;15/02/2017;49752;361677;45900;174865;5125;0;conventional;2017;Mei;Makassar;16250;minimarket
46;08/02/2017;71704;554857;37437;175771;5162;0;conventional;2017;Edelyn;Jakarta;14170;minimarket
47;01/02/2017;93167;666010;83652;159917;4672;0;conventional;2017;Viola;Palembang;13780;minimarket
48;25/01/2017;49696;386399;39489;209762;7589;0;conventional;2017;Clarissa;Jakarta;15600;minimarket
49;18/01/2017;49947;393360;40576;169391;4468;0;conventional;2017;Clarissa;Jayapura;15990;minimarket
50;11/01/2017;51461;420838;42527;151331;4076;0;conventional;2017;Viola;Makassar;15210;minimarket
51;04/01/2017;53987;552906;39995;137146;3991;0;conventional;2017;Viola;Jakarta;14040;minimarket
0;27/12/2017;30482;2972;5894;23520;6;35;conventional;2017;Edelyn;Palembang;12610;supermarket
1;20/12/2017;25628;2546;7394;21900;11;24;conventional;2017;Viola;Bandung;13390;supermarket
2;13/12/2017;27149;2986;6458;21843;4;21;conventional;2017;Eko;BalikPapan;12870;supermarket
3;06/12/2017;35591;12527;4086;42735;0;357;conventional;2017;Eko;Jayapura;9230;supermarket
4;29/11/2017;24190;2790;6031;15861;0;197;conventional;2017;Clarissa;Makassar;13780;supermarket
5;22/11/2017;25409;3256;6663;17531;4;13;conventional;2017;Eko;Makassar;14170;supermarket
6;15/11/2017;24425;12086;6502;25200;9;427;conventional;2017;Viola;BalikPapan;13130;supermarket
7;08/11/2017;31910;4652;6286;12778;120;102;conventional;2017;Viola;Makassar;14430;supermarket
8;01/11/2017;30435;4360;6428;12332;0;31;conventional;2017;Edelyn;Jakarta;14820;supermarket
9;25/10/2017;29522;10090;6552;13661;0;51;conventional;2017;Mei;Surabaya;14430;supermarket
10;18/10/2017;29614;9069;6586;8918;0;3;conventional;2017;Mei;BalikPapan;15080;supermarket
11;11/10/2017;26114;33416;7604;13543;185;41;conventional;2017;Clarissa;Bandung;12220;supermarket
12;04/10/2017;35154;10822;7552;5462;505;2;conventional;2017;Eko;Palembang;14560;supermarket
13;27/09/2017;47007;5754;3663;7597;160;6;conventional;2017;Eko;Makassar;12870;supermarket
14;20/09/2017;34827;21592;6640;10601;273;19;conventional;2017;Edelyn;Bandung;13390;supermarket
15;13/09/2017;45739;4394;6593;7483;0;0;conventional;2017;Eko;Makassar;14040;minimarket
16;06/09/2017;44135;5402;7992;6934;0;2;conventional;2017;Viola;Surabaya;15080;supermarket
17;30/08/2017;40927;5810;7923;5441;0;0;conventional;2017;Edelyn;Jakarta;15470;minimarket
18;23/08/2017;44059;14861;4433;7420;0;0;conventional;2017;Viola;Jayapura;13650;minimarket
19;16/08/2017;46189;5258;6457;6091;0;6;conventional;2017;Eko;Jakarta;14560;supermarket
20;09/08/2017;44740;5034;3931;7569;13;0;conventional;2017;Eko;Jayapura;14300;minimarket
21;02/08/2017;51151;5141;5435;5988;49;0;conventional;2017;Viola;Surabaya;13910;minimarket
22;26/07/2017;50978;4856;5480;6358;154;0;conventional;2017;Mei;BalikPapan;13910;minimarket
23;19/07/2017;45922;5300;5565;6354;817;0;conventional;2017;Viola;Makassar;14170;minimarket
24;12/07/2017;51829;5803;7474;8335;1237;0;conventional;2017;Viola;Jakarta;13650;minimarket
25;05/07/2017;61950;8022;8435;6557;81;0;conventional;2017;Viola;Jakarta;14950;minimarket
26;28/06/2017;59111;6573;3975;5619;0;2;conventional;2017;Viola;Medan;13520;supermarket
27;21/06/2017;52790;15445;5876;7022;0;265;conventional;2017;Viola;Bandung;13780;supermarket
28;14/06/2017;58791;17880;3136;7800;0;0;conventional;2017;Viola;Surabaya;12870;minimarket
29;07/06/2017;61245;7238;6656;5604;9;0;conventional;2017;Clarissa;Jakarta;14560;minimarket
30;31/05/2017;57374;7421;4028;7860;6;0;conventional;2017;Viola;Medan;12610;minimarket
31;24/05/2017;54826;14839;6037;7470;0;38;conventional;2017;Viola;Makassar;13390;supermarket
32;17/05/2017;61320;7394;2920;6346;0;8;conventional;2017;Clarissa;Makassar;12480;supermarket
33;10/05/2017;62505;15897;7891;9453;0;42;conventional;2017;Viola;Bandung;13780;supermarket
34;03/05/2017;66880;7942;4290;6350;0;5;conventional;2017;Viola;Medan;13000;supermarket
35;26/04/2017;69545;7985;3402;7175;0;5;conventional;2017;Viola;Surabaya;12480;supermarket
36;19/04/2017;56844;21631;3260;7954;0;6;conventional;2017;Viola;BalikPapan;12870;supermarket
37;12/04/2017;44469;8506;7523;5748;0;0;conventional;2017;Viola;Makassar;15470;minimarket
38;05/04/2017;57340;9060;3790;6511;0;3;conventional;2017;Edelyn;Jakarta;14170;supermarket
39;29/03/2017;59533;7120;3102;4790;0;0;conventional;2017;Clarissa;Makassar;12740;minimarket
40;22/03/2017;44227;6590;7290;3312;0;0;conventional;2017;Clarissa;Medan;15210;minimarket
41;15/03/2017;51472;7018;2982;4446;0;0;conventional;2017;Edelyn;Medan;13000;minimarket
42;08/03/2017;45880;7206;7404;4860;0;0;conventional;2017;Clarissa;Bandung;14820;minimarket
43;01/03/2017;40578;23739;3492;6479;759;0;conventional;2017;Viola;Jayapura;13780;minimarket
44;22/02/2017;50872;16375;2122;7235;232;0;conventional;2017;Edelyn;Jakarta;12870;minimarket
45;15/02/2017;41548;7840;6493;3648;1693;0;conventional;2017;Viola;Bandung;14820;minimarket
46;08/02/2017;54229;9647;3047;1373;1674;0;conventional;2017;Viola;Palembang;13910;minimarket
47;01/02/2017;67496;36532;2905;4867;1778;0;conventional;2017;Edelyn;Bandung;11830;minimarket
48;25/01/2017;51922;7556;2061;2010;2521;0;conventional;2017;Clarissa;Bandung;13390;minimarket
49;18/01/2017;50355;6342;2257;1119;2797;0;conventional;2017;Eko;Bandung;14040;minimarket
50;11/01/2017;38112;10998;3322;3295;1629;0;conventional;2017;Clarissa;BalikPapan;15340;minimarket
51;04/01/2017;44562;24964;2752;6064;1691;0;conventional;2017;Clarissa;Surabaya;13130;minimarket
0;27/12/2017;3886;346965;13953;85914;99;0;conventional;2017;Clarissa;Jakarta;14690;minimarket
1;20/12/2017;4912;390101;5888;88768;133;0;conventional;2017;Clarissa;Jayapura;13910;minimarket
2;13/12/2017;4641;455362;219;89523;200;0;conventional;2017;Eko;BalikPapan;13130;minimarket
3;06/12/2017;5126;407520;143;75666;224;0;conventional;2017;Viola;Surabaya;13260;minimarket
4;29/11/2017;3609;272719;106;73865;261;0;conventional;2017;Eko;Palembang;15470;minimarket
5;22/11/2017;4458;383420;234;78162;486;0;conventional;2017;Edelyn;Bandung;13910;minimarket
6;15/11/2017;5310;420937;140;85604;1748;0;conventional;2017;Viola;Jakarta;13650;minimarket
7;08/11/2017;5304;542881;232;88265;5078;0;conventional;2017;Eko;BalikPapan;13520;minimarket
8;01/11/2017;4886;449532;170;93443;5065;0;conventional;2017;Clarissa;Jakarta;13780;minimarket
9;25/10/2017;4005;430726;191;94582;4745;0;conventional;2017;Clarissa;Makassar;13260;minimarket
10;18/10/2017;6410;627504;333;86046;5003;0;conventional;2017;Clarissa;Medan;12220;minimarket
11;11/10/2017;5146;378296;355;97513;4397;0;conventional;2017;Clarissa;Jayapura;14820;minimarket
12;04/10/2017;5804;427359;278;97207;5831;0;conventional;2017;Mei;Medan;13910;minimarket
13;27/09/2017;5211;463080;289;82124;2603;0;conventional;2017;Viola;Jayapura;13910;minimarket
14;20/09/2017;4377;398673;418;91613;3559;0;conventional;2017;Mei;Jakarta;14950;minimarket
15;13/09/2017;5422;560792;354;84844;4271;0;conventional;2017;Mei;Medan;13390;minimarket
16;06/09/2017;4237;477868;497;94558;614;0;conventional;2017;Viola;BalikPapan;14430;minimarket
17;30/08/2017;4177;438503;554;83242;189;0;conventional;2017;Clarissa;Bandung;14690;minimarket
18;23/08/2017;4744;488292;609;95585;241;0;conventional;2017;Clarissa;Jakarta;13910;minimarket
19;16/08/2017;4461;464476;749;95887;222;0;conventional;2017;Clarissa;Medan;14950;minimarket
20;09/08/2017;4173;590998;827;94288;231;0;conventional;2017;Viola;Jakarta;13910;minimarket
21;02/08/2017;4442;468592;1452;97214;294;0;conventional;2017;Clarissa;Jayapura;15210;minimarket
22;26/07/2017;4299;393282;1958;100467;228;0;conventional;2017;Viola;Jakarta;16640;minimarket
23;19/07/2017;4720;477630;5072;109519;227;0;conventional;2017;Edelyn;Medan;15340;minimarket
24;12/07/2017;5332;471640;9362;146947;1236;0;conventional;2017;Eko;Jakarta;14820;minimarket
25;05/07/2017;4743;418251;11054;145983;2878;0;conventional;2017;Viola;Jakarta;16510;minimarket
26;28/06/2017;4688;403231;9120;142575;881;0;conventional;2017;Clarissa;Makassar;16250;minimarket
27;21/06/2017;3582;404909;8899;125821;293;0;conventional;2017;Eko;Makassar;16120;minimarket
28;14/06/2017;5104;521255;6545;151259;183;0;conventional;2017;Clarissa;Bandung;14040;minimarket
29;07/06/2017;4034;421007;93;137225;183;0;conventional;2017;Mei;Jakarta;16250;minimarket
30;31/05/2017;4128;418105;109;142515;303;0;conventional;2017;Clarissa;Jakarta;16380;minimarket
31;24/05/2017;4602;490486;277;137769;388;0;conventional;2017;Eko;Makassar;14820;minimarket
32;17/05/2017;4286;380514;163;147668;1858;0;conventional;2017;Viola;Jakarta;16380;minimarket
33;10/05/2017;4602;476828;131;141309;2688;0;conventional;2017;Viola;Bandung;14820;minimarket
34;03/05/2017;3829;429586;240;115149;3565;0;conventional;2017;Clarissa;Jakarta;15210;minimarket
35;26/04/2017;3915;352464;131;106866;2534;0;conventional;2017;Mei;Jayapura;16640;minimarket
36;19/04/2017;4014;384880;163;114562;1001;0;conventional;2017;Eko;Surabaya;14950;minimarket
37;12/04/2017;3576;294164;106;108644;1995;0;conventional;2017;Eko;Medan;16380;minimarket
38;05/04/2017;3658;330425;100;113541;1949;146;conventional;2017;Viola;Jayapura;16510;supermarket
39;29/03/2017;3619;339299;151;108838;1723;0;conventional;2017;Mei;Medan;15470;minimarket
40;22/03/2017;5956;344397;156;102204;460;0;conventional;2017;Viola;Surabaya;15340;minimarket
41;15/03/2017;6086;308997;112;101932;624;0;conventional;2017;Viola;Palembang;16250;minimarket
42;08/03/2017;3426;290513;79;113811;576;0;conventional;2017;Viola;Jayapura;15210;minimarket
43;01/03/2017;4106;383574;193;97423;440;0;conventional;2017;Mei;Jakarta;14430;minimarket
44;22/02/2017;3233;251341;142;100498;218;0;conventional;2017;Clarissa;Makassar;15990;minimarket
45;15/02/2017;3795;281106;143;114284;556;0;conventional;2017;Eko;Jakarta;15600;minimarket
46;08/02/2017;7653;495732;384;105403;813;0;conventional;2017;Mei;Jayapura;13520;minimarket
47;01/02/2017;6083;373452;273;109901;313;0;conventional;2017;Clarissa;Surabaya;15860;minimarket
48;25/01/2017;4731;288095;46;115538;934;0;conventional;2017;Eko;Makassar;15210;minimarket
49;18/01/2017;4384;287779;133;108669;368;0;conventional;2017;Viola;Makassar;15990;minimarket
50;11/01/2017;5548;320577;122;111193;332;0;conventional;2017;Edelyn;Jakarta;14300;minimarket
51;04/01/2017;7194;396752;129;87407;256;0;conventional;2017;Clarissa;Palembang;13260;minimarket
0;27/12/2017;1368;39543;86;55237;0;0;conventional;2017;Edelyn;Jakarta;17550;minimarket
1;20/12/2017;1165;38431;107;51165;0;0;conventional;2017;Clarissa;Makassar;17810;minimarket
2;13/12/2017;1421;40783;66;56202;0;0;conventional;2017;Clarissa;Jakarta;17550;minimarket
3;06/12/2017;1738;58197;167;48356;0;0;conventional;2017;Viola;Jakarta;15990;minimarket
4;29/11/2017;1515;35683;113;42662;0;0;conventional;2017;Edelyn;BalikPapan;18070;minimarket
5;22/11/2017;1712;38781;108;49642;0;0;conventional;2017;Eko;BalikPapan;18200;minimarket
6;15/11/2017;1804;41457;107;55593;742;0;conventional;2017;Eko;Palembang;17680;minimarket
7;08/11/2017;1289;49507;55;58886;1302;0;conventional;2017;Edelyn;Medan;16900;minimarket
8;01/11/2017;2181;61875;186;52956;1342;0;conventional;2017;Clarissa;Palembang;15990;minimarket
9;25/10/2017;1546;36646;80;59381;1902;0;conventional;2017;Edelyn;Jakarta;17680;minimarket
10;18/10/2017;1536;40702;58;62627;1160;0;conventional;2017;Mei;Medan;16770;minimarket
11;11/10/2017;2170;50862;96;54830;1196;0;conventional;2017;Clarissa;Makassar;16900;minimarket
12;04/10/2017;3020;38353;101;56141;1284;0;conventional;2017;Viola;Jakarta;17290;minimarket
13;27/09/2017;1908;60293;106;27767;671;0;conventional;2017;Clarissa;Jakarta;17030;minimarket
14;20/09/2017;1445;39832;89;18438;821;0;conventional;2017;Viola;Makassar;20020;minimarket
15;13/09/2017;1573;48469;134;22422;446;0;conventional;2017;Eko;Surabaya;20670;minimarket
